mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_max_samples,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.623097038269043,0.04872270777959175,0.015351390838623047,0.0025163350350714867,3,0.9,0.7,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.01}",0.8801331853496115,0.8856825749167592,0.8912319644839067,0.8712541620421753,0.8822222222222222,0.882104821802935,0.006599136326347362,104
0.6798864364624023,0.06458966886484004,0.01592364311218262,0.004235279430153095,3,0.9,0.7,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.03}",0.8779134295227525,0.8834628190899001,0.8890122086570478,0.8679245283018868,0.8777777777777778,0.879218152669873,0.007003765549799639,144
0.7267548561096191,0.08498841725510958,0.016231060028076172,0.006660407093502145,3,0.9,0.7,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.07}",0.8623751387347391,0.8801331853496115,0.8779134295227525,0.8601553829078802,0.8777777777777778,0.8716709828585522,0.00856611598962683,192
0.6198646068572998,0.09489258842596959,0.01568889617919922,0.003523600010303855,3,0.9,0.7,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.7, 'min_samples_split': 0.1}",0.8623751387347391,0.8834628190899001,0.8756936736958935,0.8612652608213096,0.8733333333333333,0.8712260451350351,0.008386832221790375,194
0.7025363445281982,0.08137935937229723,0.016213464736938476,0.004149669229414687,3,0.9,0.8,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.01}",0.8801331853496115,0.8867924528301887,0.8912319644839067,0.8723640399556049,0.8822222222222222,0.8825487729683068,0.006373023130981278,101
0.8312283039093018,0.1521016543573737,0.015153455734252929,0.0022168428795192635,3,0.9,0.8,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.03}",0.8801331853496115,0.8845726970033296,0.8923418423973363,0.8690344062153164,0.8777777777777778,0.8807719817486742,0.007687016450307593,114
0.689934492111206,0.11024732160035842,0.012934637069702149,0.0008180066247059041,3,0.9,0.8,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.07}",0.876803551609323,0.8801331853496115,0.8879023307436182,0.8690344062153164,0.8766666666666667,0.8781080281169071,0.006101465757715612,169
0.6255279541015625,0.04081467672818642,0.016332101821899415,0.003282449347208935,3,0.9,0.8,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.8, 'min_samples_split': 0.1}",0.8623751387347391,0.8701442841287459,0.8890122086570478,0.8612652608213096,0.8733333333333333,0.8712260451350351,0.009995141334754088,194
0.589351749420166,0.034313221508089964,0.011563539505004883,0.0007986250313406522,3,0.9,0.9,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.01}",0.8801331853496115,0.8834628190899001,0.8912319644839067,0.8712541620421753,0.8833333333333333,0.8818830928597855,0.006450371766917537,106
0.6925117492675781,0.07251230118593134,0.018099641799926756,0.006008454946225704,3,0.9,0.9,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.03}",0.8801331853496115,0.8845726970033296,0.8890122086570478,0.8701442841287459,0.88,0.8807724750277469,0.00626576009901759,113
0.6056295394897461,0.024724452813241975,0.014846181869506836,0.001764702560988049,3,0.9,0.9,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.07}",0.8745837957824639,0.8834628190899001,0.8879023307436182,0.8690344062153164,0.8766666666666667,0.878330003699593,0.006651077135350412,164
0.6914685726165771,0.062051651978196495,0.014520835876464844,0.004328846492280929,3,0.9,0.9,0.1,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 0.9, 'min_samples_split': 0.1}",0.8634850166481687,0.8701442841287459,0.8756936736958935,0.8612652608213096,0.8722222222222222,0.8685620915032679,0.005399625580344859,250
0.6871336460113525,0.09791104055507856,0.011735963821411132,0.00045213591220052973,3,0.9,1.0,0.01,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.01}",0.8801331853496115,0.8867924528301887,0.8912319644839067,0.8723640399556049,0.8877777777777778,0.883659884079418,0.006695373560028468,97
0.6691668033599854,0.07942338837410741,0.011585187911987305,0.0009057533480543085,3,0.9,1.0,0.03,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.03}",0.8790233074361821,0.881243063263041,0.8912319644839067,0.8690344062153164,0.8811111111111111,0.8803287705019114,0.007065331210143983,117
0.8459202766418457,0.12756468425832415,0.015850257873535157,0.005085445021277871,3,0.9,1.0,0.07,"{'max_depth': 3, 'max_features': 0.9, 'max_samples': 1.0, 'min_samples_split': 0.07}",0.8790233074361821,0.8834628190899001,0.8901220865704772,0.8690344062153164,0.8744444444444445,0.879217412751264,0.007258759005862703,148
